"filename", "language", "Markdown", "JSON", "Visual Basic", "JavaScript", "Batch", "Python", "CSS", "HTML", "XML", "JSON with Comments", "PlantUML", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\package-lock.json", "JSON", 0, 29637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29638
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\package.json", "JSON", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 157
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\scripts\build.js", "JavaScript", 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 21, 23, 218
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\scripts\start.js", "JavaScript", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 17, 16, 155
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\scripts\test.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 7, 10, 53
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\src\App.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 1, 26
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\src\View.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\src\components\FormItem.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 2, 3, 31
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\src\components\UserEditor.js", "JavaScript", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 57, 11, 191
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\src\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\src\layouts\HomeLayout.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 3, 24
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\src\pages\Home.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\src\pages\Login.js", "JavaScript", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 17, 13, 148
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\src\pages\UserAdd.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 2, 20
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\src\pages\UserEdit.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 16, 5, 57
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\src\pages\UserList.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 37, 10, 124
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\src\utils\formProvider.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 39, 10, 126
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\src\utils\request.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 10, 3, 45
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\README.md", "Markdown", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 74
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\db.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\json-server\db.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\json-server\readme.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\json-server\routes.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\json-server\users.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-test\README.md", "Markdown", 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 194
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-test\package-lock.json", "JSON", 0, 27599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27600
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-test\package.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-test\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-test\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
