"filename", "language", "JavaScript", "CSS", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestRecord\TestRecord.js", "JavaScript", 271, 0, 0, 0, 0, 31, 302
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestRecord\TestRecord.md", "Markdown", 0, 0, 0, 4, 0, 0, 4
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestReport\TestReport.css", "CSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestReport\TestReport.js", "JavaScript", 925, 0, 0, 0, 0, 116, 1041
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestScenarioReviewForm\TestScenarioReviewForm.js", "JavaScript", 280, 0, 0, 0, 0, 38, 318
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewApplication\ViewApplication.css", "CSS", 0, 32, 0, 0, 0, 1, 33
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewApplication\ViewApplication.js", "JavaScript", 433, 0, 0, 0, 0, 74, 507
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewCfdtagreement\ViewCfdtagreement.css", "CSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewCfdtagreement\ViewCfdtagreement.js", "JavaScript", 182, 0, 0, 0, 0, 22, 204
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewContract\ViewContract.css", "CSS", 0, 5, 0, 0, 0, 0, 5
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewContract\ViewContract.js", "JavaScript", 164, 0, 0, 0, 0, 23, 187
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewEntrustList\ViewEntrustList.css", "CSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewEntrustList\ViewEntrustList.js", "JavaScript", 310, 0, 0, 0, 0, 14, 324
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewEntrust\ViewEntrust.css", "CSS", 0, 31, 0, 0, 0, 0, 31
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewEntrust\ViewEntrust.js", "JavaScript", 324, 0, 0, 0, 0, 32, 356
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewFunction\ViewFunction.css", "CSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewFunction\ViewFunction.js", "JavaScript", 124, 0, 0, 0, 0, 9, 133
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewProjList\ViewProjList.css", "CSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewProjList\ViewProjList.js", "JavaScript", 318, 0, 0, 0, 0, 14, 332
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewProject\ViewProject.css", "CSS", 0, 31, 0, 0, 0, 0, 31
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewProject\ViewProject.js", "JavaScript", 365, 0, 0, 0, 0, 55, 420
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewQuotation\ViewQuotation.css", "CSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewQuotation\ViewQuotation.js", "JavaScript", 154, 0, 0, 0, 4, 18, 176
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewQuotation\ViewQuotation.md", "Markdown", 0, 0, 0, 29, 0, 1, 30
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewSignature\ViewSignature.css", "CSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewSignature\ViewSignature.js", "JavaScript", 138, 0, 0, 0, 0, 37, 175
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestCase\ViewTestCase.css", "CSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestCase\ViewTestCase.js", "JavaScript", 130, 0, 0, 0, 0, 23, 153
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestPlan\ViewTestPlan.css", "CSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestPlan\ViewTestPlan.js", "JavaScript", 288, 0, 0, 0, 1, 81, 370
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestRecord\ViewTestRecord.css", "CSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestRecord\ViewTestRecord.js", "JavaScript", 156, 0, 0, 0, 0, 28, 184
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestReport\ViewTestReport.css", "CSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestReport\ViewTestReport.js", "JavaScript", 479, 0, 0, 0, 0, 143, 622
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewUserFiles\ViewUserFiles.js", "JavaScript", 52, 0, 0, 0, 0, 5, 57
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewchecklist\Viewchecklist.js", "JavaScript", 249, 0, 0, 0, 0, 25, 274
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewquestionlist\Viewquestionlist.js", "JavaScript", 142, 0, 0, 0, 1, 25, 168
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewsdreviewform\Viewsdreviewform.js", "JavaScript", 409, 0, 0, 0, 0, 32, 441
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewtestchecklist\Viewtestchecklist.js", "JavaScript", 412, 0, 0, 0, 0, 34, 446
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewtsreviewform\Viewtsreviewform.js", "JavaScript", 246, 0, 0, 0, 0, 33, 279
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\functions\functionTest.js", "JavaScript", 133, 0, 0, 0, 1, 7, 141
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\functions\functions.js", "JavaScript", 122, 0, 0, 0, 6, 5, 133
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\index.css", "CSS", 0, 12, 0, 0, 0, 2, 14
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\index.js", "JavaScript", 19, 0, 0, 0, 4, 3, 26
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\LoginPage\Login.css", "CSS", 0, 37, 0, 0, 1, 4, 42
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\LoginPage\Login.js", "JavaScript", 104, 0, 0, 0, 9, 11, 124
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\LoginPage\Login.md", "Markdown", 0, 0, 0, 12, 0, 3, 15
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterPage\Register.css", "CSS", 0, 37, 0, 0, 1, 4, 42
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterPage\Register.js", "JavaScript", 94, 0, 0, 0, 9, 8, 111
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterPage\Register.md", "Markdown", 0, 0, 0, 12, 0, 3, 15
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterStaffPage\RegisterStaff.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterStaffPage\RegisterStaff.js", "JavaScript", 91, 0, 0, 0, 11, 10, 112
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterStaffPage\RegisterStaff.md", "Markdown", 0, 0, 0, 12, 0, 3, 15
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\UserInfoPage\UserInfo.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\UserInfoPage\UserInfo.js", "JavaScript", 47, 0, 0, 0, 7, 5, 59
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\UserInfoPage\UserInfo.md", "Markdown", 0, 0, 0, 12, 0, 3, 15
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 2, 14
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\routers\privateRouters.js", "JavaScript", 20, 0, 0, 0, 6, 2, 28
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\setupTests.js", "JavaScript", 14, 0, 0, 0, 4, 1, 19
"Total", "-", 13615, 424, 1, 207, 187, 1665, 16099
