Date : 2022-07-04 22:18:38
Directory : c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src
Total : 88 files,  5700 codes, -351 comments, 700 blanks, all 6049 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         63 |      5,442 |       -352 |        675 |      5,765 |
| Markdown   |         14 |        184 |          0 |         18 |        202 |
| CSS        |         11 |         74 |          1 |          7 |         82 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\UserInfoPage\UserInfo.css                                              | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\UserInfoPage\UserInfo.js                                               | JavaScript |         47 |          7 |          5 |         59 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\UserInfoPage\UserInfo.md                                               | Markdown   |         12 |          0 |          3 |         15 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\View.js                                                                | JavaScript |        -47 |          0 |         -5 |        -52 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\components\FormItem.js                                                 | JavaScript |        -26 |         -2 |         -3 |        -31 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\components\UserEditor.js                                               | JavaScript |       -116 |         -6 |         -7 |       -129 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\layouts\HomeLayout.js                                                  | JavaScript |        -17 |         -4 |         -3 |        -24 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\Login.js                                                         | JavaScript |       -136 |        -29 |        -13 |       -178 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\Register.js                                                      | JavaScript |       -127 |         -2 |         -9 |       -138 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\UserAdd.js                                                       | JavaScript |        -13 |         -5 |         -2 |        -20 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\UserEdit.js                                                      | JavaScript |        -36 |        -16 |         -5 |        -57 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\UserInfo.js                                                      | JavaScript |        -40 |        -11 |         -4 |        -55 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\UserList.js                                                      | JavaScript |        -77 |        -37 |        -10 |       -124 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\css\register.css                                                 | CSS        |        -36 |         -1 |         -3 |        -40 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\utils\formProvider.js                                                  | JavaScript |        -77 |        -39 |        -10 |       -126 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\utils\request.js                                                       | JavaScript |        -32 |        -10 |         -3 |        -45 |
| Total                                                                                                                                       |            |      5,700 |       -351 |        700 |      6,049 |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
